state,pop,area,density,urban,median.age
Alabama,4903185,50645,96.8,0.59,39.2
Alaska,731545,570641,1.3,0.66,34.6
Arizona,7278717,113594,64.1,0.898,37.9
Arkansas,3017804,52035,58.0,0.562,38.3
California,39512223,155959,253.4,0.95,36.8
Colorado,5758736,103642,55.6,0.862,36.9
Connecticut,3565287,4842,736.3,0.88,41
Delaware,973764,1949,499.6,0.833,40.7
Florida,21477737,53625,400.5,0.912,42.2
Georgia,10617423,57513,184.6,0.751,36.9
Hawaii,1415872,6423,220.4,0.919,39.2
Idaho,1787065,82643,21.6,0.706,36.6
Illinois,12671821,55519,228.2,0.885,38.3
Indiana,6732219,35826,187.9,0.724,37.9
Iowa,3155070,55857,56.5,0.64,38.2
Kansas,2913314,81759,35.6,0.742,36.9
Kentucky,4467673,39486,113.1,0.584,38.9
Louisiana,4648794,43204,107.6,0.732,37.2
Maine,1344212,30843,43.6,0.387,44.9
Maryland,6045680,9707,622.8,0.872,38.8
Massachusetts,6892503,7800,883.7,0.92,39.4
Michigan,9986857,56539,176.6,0.746,39.8
Minnesota,5639632,79627,70.8,0.733,38.1
Mississippi,2976149,46923,63.4,0.493,37.7
Missouri,6137428,68742,89.3,0.704,38.7
Montana,1068778,145546,7.3,0.559,39.9
Nebraska,1934408,76824,25.2,0.731,36.6
Nevada,3080156,109781,28.1,0.942,38.1
New Hampshire,1359711,8953,151.9,0.603,43
New Jersey,8882190,7354,1207.8,0.947,40
New Mexico,2096829,121298,17.3,0.774,38.1
New York,19453561,47126,412.8,0.879,39
North Carolina,10488084,48618,215.7,0.661,38.9
North Dakota,762062,69001,11.0,0.599,35.2
Ohio,11689100,40861,286.1,0.779,39.4
Oklahoma,3956971,68595,57.7,0.662,36.7
Oregon,4217737,95988,43.9,0.81,39.4
Pennsylvania,12801989,44743,286.1,0.787,40.8
Rhode Island,1059361,1034,1024.5,0.907,40.1
South Carolina,5148714,30061,171.3,0.663,39.6
South Dakota,884659,75811,11.7,0.567,37.1
Tennessee,6829174,41235,165.6,0.664,38.8
Texas,28995881,261232,111.0,0.847,34.8
Utah,3205958,82170,39.0,0.906,31
Vermont,623989,9217,67.7,0.389,42.8
Virginia,8535519,39490,216.1,0.755,38.4
Washington,7614893,66456,114.6,0.84,37.7
West Virginia,1792147,24038,74.6,0.487,42.7
Wisconsin,5822434,54158,107.5,0.702,39.6
Wyoming,578759,97093,6.0,0.648,38
District of Columbia,705749,61,11569.7,1,34
Puerto Rico,3193694,3515,908.6,0.938,41.5
Virgin Islands,104914,134,782.9,0.959,41
Guam,165718,210,789.1,0.949,29
Northern Mariana Islands,55194,179,308.3,0.918,33.6
American Samoa,55641,77,722.6,0.872,25.5
United States,331814684,3536202,93.8,0.807,38.2
